2018-10-18 14:23:15 [ INFO] - HttpTools  --f:测试用例路径

2018-10-18 14:23:16 [ INFO] - HttpTools  -接口名称:app首页
2018-10-18 14:23:19 [ INFO] - HttpTools  -response filter
2018-10-18 14:23:19 [ INFO] - HttpTools  -实际值:200
2018-10-18 14:23:19 [ INFO] - HttpTools  -预期值:200
2018-10-18 14:23:19 [ INFO] - HttpTools  -断言接口状态码
2018-10-18 14:23:19 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 14:23:19 [ INFO] - HttpTools  -断言数据列表:["code","200"]
2018-10-18 14:23:19 [ INFO] - HttpTools  -响应解析的值:200
2018-10-18 14:23:19 [ INFO] - HttpTools  -实际值:200
2018-10-18 14:23:19 [ INFO] - HttpTools  -预期值:200
2018-10-18 14:23:19 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 14:23:19 [ INFO] - HttpTools  -断言数据列表:["data.size()","8"]
2018-10-18 14:23:20 [ INFO] - HttpTools  -响应解析的值:12
2018-10-18 14:23:20 [ INFO] - HttpTools  -实际值:12
2018-10-18 14:23:20 [ INFO] - HttpTools  -预期值:8
2018-10-18 14:23:20 [ INFO] - HttpTools  -org.junit.rules.ErrorCollector@71e9a896
2018-10-18 14:29:27 [ INFO] - HttpTools  --f:测试用例路径

2018-10-18 14:29:29 [ INFO] - HttpTools  -接口名称:app首页
2018-10-18 14:29:30 [ INFO] - HttpTools  -response filter
2018-10-18 14:29:30 [ INFO] - HttpTools  -实际值:200
2018-10-18 14:29:30 [ INFO] - HttpTools  -预期值:200
2018-10-18 14:29:30 [ INFO] - HttpTools  -断言接口状态码
2018-10-18 14:29:30 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 14:29:30 [ INFO] - HttpTools  -断言数据列表:["code","200"]
2018-10-18 14:29:30 [ INFO] - HttpTools  -响应解析的值:200
2018-10-18 14:29:30 [ INFO] - HttpTools  -实际值:200
2018-10-18 14:29:30 [ INFO] - HttpTools  -预期值:200
2018-10-18 14:29:30 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 14:29:30 [ INFO] - HttpTools  -断言数据列表:["data.size()","8"]
2018-10-18 14:29:31 [ INFO] - HttpTools  -响应解析的值:12
2018-10-18 14:29:31 [ INFO] - HttpTools  -实际值:12
2018-10-18 14:29:31 [ INFO] - HttpTools  -预期值:8
2018-10-18 14:29:31 [ INFO] - HttpTools  -org.junit.rules.ErrorCollector
2018-10-18 14:45:16 [ INFO] - HttpTools  --f:测试用例路径

2018-10-18 14:45:32 [ INFO] - HttpTools  --f:测试用例路径

2018-10-18 14:46:27 [ INFO] - HttpTools  --f:测试用例路径

2018-10-18 14:46:49 [ INFO] - HttpTools  --f:测试用例路径

2018-10-18 14:47:31 [ INFO] - HttpTools  --f:测试用例路径

2018-10-18 14:49:47 [ INFO] - HttpTools  -初始化全局参数
2018-10-18 14:51:41 [ INFO] - HttpTools  -初始化全局参数
2018-10-18 14:51:42 [ INFO] - HttpTools  -接口名称:app首页
2018-10-18 14:51:43 [ INFO] - HttpTools  -response filter
2018-10-18 14:51:43 [ INFO] - HttpTools  -实际值:200
2018-10-18 14:51:43 [ INFO] - HttpTools  -预期值:200
2018-10-18 14:51:43 [ INFO] - HttpTools  -断言接口状态码
2018-10-18 14:51:44 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 14:51:44 [ INFO] - HttpTools  -断言数据列表:["code","200"]
2018-10-18 14:51:44 [ INFO] - HttpTools  -响应解析的值:200
2018-10-18 14:51:44 [ INFO] - HttpTools  -实际值:200
2018-10-18 14:51:44 [ INFO] - HttpTools  -预期值:200
2018-10-18 14:51:44 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 14:51:44 [ INFO] - HttpTools  -断言数据列表:["data.size()","8"]
2018-10-18 14:51:44 [ INFO] - HttpTools  -响应解析的值:12
2018-10-18 14:51:44 [ INFO] - HttpTools  -实际值:12
2018-10-18 14:51:44 [ INFO] - HttpTools  -预期值:8
2018-10-18 14:51:44 [ INFO] - HttpTools  -org.junit.rules.ErrorCollector
2018-10-18 14:52:55 [ INFO] - HttpTools  -初始化全局参数
2018-10-18 14:52:56 [ INFO] - HttpTools  -接口名称:app首页
2018-10-18 14:52:57 [ INFO] - HttpTools  -response filter
2018-10-18 14:52:57 [ INFO] - HttpTools  -实际值:200
2018-10-18 14:52:57 [ INFO] - HttpTools  -预期值:200
2018-10-18 14:52:57 [ INFO] - HttpTools  -断言接口状态码
2018-10-18 14:52:58 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 14:52:58 [ INFO] - HttpTools  -断言数据列表:["code","200"]
2018-10-18 14:52:58 [ INFO] - HttpTools  -响应解析的值:200
2018-10-18 14:52:58 [ INFO] - HttpTools  -实际值:200
2018-10-18 14:52:58 [ INFO] - HttpTools  -预期值:200
2018-10-18 14:52:58 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 14:52:58 [ INFO] - HttpTools  -断言数据列表:["data.size()","8"]
2018-10-18 14:52:58 [ INFO] - HttpTools  -响应解析的值:12
2018-10-18 14:52:58 [ INFO] - HttpTools  -实际值:12
2018-10-18 14:52:58 [ INFO] - HttpTools  -预期值:8
2018-10-18 14:52:58 [ INFO] - HttpTools  -org.junit.rules.ErrorCollector
2018-10-18 19:03:46 [ INFO] - HttpTools  -初始化全局参数
2018-10-18 19:03:47 [ INFO] - HttpTools  -接口名称:app首页
2018-10-18 19:03:50 [ INFO] - HttpTools  -response filter
2018-10-18 19:03:50 [ INFO] - HttpTools  -实际值:200
2018-10-18 19:03:50 [ INFO] - HttpTools  -预期值:200
2018-10-18 19:03:50 [ INFO] - HttpTools  -断言接口状态码
2018-10-18 19:03:50 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 19:03:50 [ INFO] - HttpTools  -断言数据列表:["code","200"]
2018-10-18 19:03:51 [ INFO] - HttpTools  -响应解析的值:200
2018-10-18 19:03:51 [ INFO] - HttpTools  -实际值:200
2018-10-18 19:03:51 [ INFO] - HttpTools  -预期值:200
2018-10-18 19:03:51 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 19:03:51 [ INFO] - HttpTools  -断言数据列表:["data.size()","8"]
2018-10-18 19:03:51 [ INFO] - HttpTools  -响应解析的值:12
2018-10-18 19:03:51 [ INFO] - HttpTools  -实际值:12
2018-10-18 19:03:51 [ INFO] - HttpTools  -预期值:8
2018-10-18 19:03:51 [ INFO] - HttpTools  -org.junit.rules.ErrorCollector
2018-10-18 19:06:59 [ INFO] - HttpTools  -初始化全局参数
2018-10-18 19:07:00 [ INFO] - HttpTools  -接口名称:app首页
2018-10-18 19:07:02 [ INFO] - HttpTools  -开启响应拦截器
2018-10-18 19:07:02 [ INFO] - HttpTools  -实际值:200
2018-10-18 19:07:02 [ INFO] - HttpTools  -预期值:200
2018-10-18 19:07:02 [ INFO] - HttpTools  -断言接口状态码
2018-10-18 19:07:02 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 19:07:02 [ INFO] - HttpTools  -断言数据列表:["code","200"]
2018-10-18 19:07:02 [ INFO] - HttpTools  -响应解析的值:200
2018-10-18 19:07:02 [ INFO] - HttpTools  -实际值:200
2018-10-18 19:07:02 [ INFO] - HttpTools  -预期值:200
2018-10-18 19:07:02 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 19:07:02 [ INFO] - HttpTools  -断言数据列表:["data.size()","8"]
2018-10-18 19:07:02 [ INFO] - HttpTools  -响应解析的值:12
2018-10-18 19:07:02 [ INFO] - HttpTools  -实际值:12
2018-10-18 19:07:02 [ INFO] - HttpTools  -预期值:8
2018-10-18 19:07:02 [ INFO] - HttpTools  -org.junit.rules.ErrorCollector
2018-10-18 19:07:19 [ INFO] - HttpTools  -初始化全局参数
2018-10-18 19:07:20 [ INFO] - HttpTools  -接口名称:app首页
2018-10-18 19:07:21 [ INFO] - HttpTools  -开启响应拦截器
2018-10-18 19:07:21 [ INFO] - HttpTools  -实际值:200
2018-10-18 19:07:21 [ INFO] - HttpTools  -预期值:200
2018-10-18 19:07:21 [ INFO] - HttpTools  -断言接口状态码
2018-10-18 19:07:21 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 19:07:21 [ INFO] - HttpTools  -断言数据列表:["code","200"]
2018-10-18 19:07:22 [ INFO] - HttpTools  -响应解析的值:200
2018-10-18 19:07:22 [ INFO] - HttpTools  -实际值:200
2018-10-18 19:07:22 [ INFO] - HttpTools  -预期值:200
2018-10-18 19:07:22 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 19:07:22 [ INFO] - HttpTools  -断言数据列表:["data.size()","8"]
2018-10-18 19:07:22 [ INFO] - HttpTools  -响应解析的值:12
2018-10-18 19:07:22 [ INFO] - HttpTools  -实际值:12
2018-10-18 19:07:22 [ INFO] - HttpTools  -预期值:8
2018-10-18 19:07:22 [ INFO] - HttpTools  -org.junit.rules.ErrorCollector
