2018-10-16 23:41:20 [ INFO] - HttpTools  -响应解析的值:000000
2018-10-16 23:41:20 [ INFO] - HttpTools  -用户中心
2018-10-16 23:41:20 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 23:41:20 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 23:41:20 [ INFO] - HttpTools  -断言数据列表:["code","200"]
2018-10-16 23:49:19 [ INFO] - HttpTools  -获取天气
2018-10-16 23:49:20 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 23:49:20 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 23:49:20 [ INFO] - HttpTools  -断言数据列表:["infocode","000000"]
2018-10-16 23:49:21 [ INFO] - HttpTools  -响应解析的值:000000
2018-10-16 23:49:21 [ INFO] - HttpTools  -用户中心
2018-10-16 23:49:21 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 23:49:21 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 23:49:21 [ INFO] - HttpTools  -断言数据列表:["code","200"]
2018-10-16 23:51:09 [ INFO] - HttpTools  -获取天气
2018-10-16 23:51:35 [ INFO] - HttpTools  -获取天气
2018-10-17 00:28:43 [ INFO] - HttpTools  -获取天气
2018-10-17 00:29:18 [ INFO] - HttpTools  -获取天气
2018-10-17 00:29:19 [ INFO] - HttpTools  -断言接口状态码
2018-10-17 00:29:19 [ INFO] - HttpTools  -断言类型:eq
2018-10-17 00:29:19 [ INFO] - HttpTools  -断言数据列表:["infocode","000000"]
2018-10-17 00:29:20 [ INFO] - HttpTools  -响应解析的值:000000
2018-10-17 00:29:20 [ INFO] - HttpTools  -用户中心
2018-10-17 00:29:20 [ INFO] - HttpTools  -断言接口状态码
2018-10-17 00:29:20 [ INFO] - HttpTools  -断言类型:eq
2018-10-17 00:29:20 [ INFO] - HttpTools  -断言数据列表:["code","200"]
2018-10-17 00:31:27 [ INFO] - HttpTools  -获取天气
2018-10-17 00:31:28 [ INFO] - HttpTools  -response filter
2018-10-17 00:31:28 [ INFO] - HttpTools  -断言接口状态码
2018-10-17 00:31:28 [ INFO] - HttpTools  -断言类型:eq
2018-10-17 00:31:28 [ INFO] - HttpTools  -断言数据列表:["infocode","000000"]
2018-10-17 00:31:29 [ INFO] - HttpTools  -响应解析的值:000000
2018-10-17 00:31:29 [ INFO] - HttpTools  -用户中心
2018-10-17 00:31:29 [ INFO] - HttpTools  -response filter
2018-10-17 00:31:29 [ INFO] - HttpTools  -断言接口状态码
2018-10-17 00:31:29 [ INFO] - HttpTools  -断言类型:eq
2018-10-17 00:31:29 [ INFO] - HttpTools  -断言数据列表:["code","200"]
2018-10-17 00:33:09 [ INFO] - HttpTools  -金币商场
2018-10-17 00:33:10 [ INFO] - HttpTools  -response filter
2018-10-17 00:33:10 [ INFO] - HttpTools  -断言接口状态码
2018-10-17 00:33:10 [ INFO] - HttpTools  -断言类型:eq
2018-10-17 00:33:10 [ INFO] - HttpTools  -断言数据列表:["message","success"]
2018-10-17 00:33:11 [ INFO] - HttpTools  -响应解析的值:success
2018-10-17 00:33:44 [ INFO] - HttpTools  -A
2018-10-17 00:33:45 [ INFO] - HttpTools  -response filter
2018-10-17 00:33:45 [ INFO] - HttpTools  -断言接口状态码
2018-10-17 00:33:45 [ INFO] - HttpTools  -断言类型:eq
2018-10-17 00:33:45 [ INFO] - HttpTools  -断言数据列表:["errCode","0"]
2018-10-17 00:34:11 [ INFO] - HttpTools  -电子书详情页
2018-10-17 00:34:12 [ INFO] - HttpTools  -response filter
2018-10-17 00:34:12 [ INFO] - HttpTools  -断言接口状态码
2018-10-17 00:34:12 [ INFO] - HttpTools  -断言类型:eq
2018-10-17 00:34:12 [ INFO] - HttpTools  -断言数据列表:["errCode","0"]
2018-10-17 00:34:13 [ INFO] - HttpTools  -响应解析的值:0
2018-10-17 00:34:13 [ INFO] - HttpTools  -包管理管理更新接口
2018-10-17 00:34:13 [ INFO] - HttpTools  -response filter
2018-10-17 00:34:13 [ INFO] - HttpTools  -断言接口状态码
2018-10-17 00:34:13 [ INFO] - HttpTools  -断言类型:eq
2018-10-17 00:34:13 [ INFO] - HttpTools  -断言数据列表:["errCode","0"]
2018-10-17 00:34:13 [ INFO] - HttpTools  -响应解析的值:0
2018-10-17 00:34:13 [ INFO] - HttpTools  -新书单列表
2018-10-17 00:34:13 [ INFO] - HttpTools  -response filter
2018-10-17 00:34:13 [ INFO] - HttpTools  -断言接口状态码
2018-10-17 00:34:13 [ INFO] - HttpTools  -断言类型:eq
2018-10-17 00:34:13 [ INFO] - HttpTools  -断言数据列表:["errCode","0"]
2018-10-17 00:34:14 [ INFO] - HttpTools  -响应解析的值:0
